Dest,DestAirportID,DestAirportSeqID,DestCityName,DestStateName
BZN,10849,1084907,"Bozeman, MT",Montana
SEA,14747,1474703,"Seattle, WA",Washington
COS,11109,1110902,"Colorado Springs, CO",Colorado
DFW,11298,1129806,"Dallas/Fort Worth, TX",Texas
FWA,11823,1182304,"Fort Wayne, IN",Indiana
PAE,14004,1400402,"Everett, WA",Washington
IND,12339,1233904,"Indianapolis, IN",Indiana
ATW,10408,1040805,"Appleton, WI",Wisconsin
ALB,10257,1025702,"Albany, NY",New York
ATL,10397,1039707,"Atlanta, GA",Georgia
SCK,14716,1471603,"Stockton, CA",California
TVC,15380,1538005,"Traverse City, MI",Michigan
LBB,12896,1289607,"Lubbock, TX",Texas
BGR,10581,1058102,"Bangor, ME",Maine
GSO,11995,1199502,"Greensboro/High Point, NC",North Carolina
PWM,14321,1432105,"Portland, ME",Maine
SRQ,14986,1498603,"Sarasota/Bradenton, FL",Florida
MEM,13244,1324402,"Memphis, TN",Tennessee
OAK,13796,1379608,"Oakland, CA",California
SYR,15096,1509602,"Syracuse, NY",New York
KTN,12819,1281902,"Ketchikan, AK",Alaska
CID,11003,1100303,"Cedar Rapids/Iowa City, IA",Iowa
GJT,11921,1192102,"Grand Junction, CO",Colorado
SHV,14814,1481402,"Shreveport, LA",Louisiana
GRR,11986,1198603,"Grand Rapids, MI",Michigan
RIC,14524,1452401,"Richmond, VA",Virginia
JAN,12448,1244807,"Jackson/Vicksburg, MS",Mississippi
OGG,13830,1383002,"Kahului, HI",Hawaii
EVV,11612,1161206,"Evansville, IN",Indiana
JAC,12441,1244102,"Jackson, WY",Wyoming
ANC,10299,1029906,"Anchorage, AK",Alaska
LAN,12884,1288403,"Lansing, MI",Michigan
ECP,11481,1148102,"Panama City, FL",Florida
MRY,13476,1347605,"Monterey, CA",California
CWA,11203,1120302,"Mosinee, WI",Wisconsin
GRB,11977,1197705,"Green Bay, WI",Wisconsin
MFR,13264,1326403,"Medford, OR",Oregon
PIA,14108,1410803,"Peoria, IL",Illinois
CDV,10926,1092603,"Cordova, AK",Alaska
PSM,14259,1425902,"Portsmouth, NH",New Hampshire
LGB,12954,1295407,"Long Beach, CA",California
BGM,10577,1057705,"Binghamton, NY",New York
ADK,10165,1016506,"Adak Island, AK",Alaska
USA,12544,1254404,"Concord, NC",North Carolina
SAN,14679,1467903,"San Diego, CA",California
VPS,15624,1562404,"Valparaiso, FL",Florida
OGD,13829,1382903,"Ogden, UT",Utah
CHS,10994,1099402,"Charleston, SC",South Carolina
PVU,14314,1431402,"Provo, UT",Utah
MBS,13184,1318403,"Saginaw/Bay City/Midland, MI",Michigan
AGS,10208,1020803,"Augusta, GA",Georgia
BLV,10676,1067602,"Belleville, IL",Illinois
LGA,12953,1295304,"New York, NY",New York
TUL,15370,1537002,"Tulsa, OK",Oklahoma
MSP,13487,1348702,"Minneapolis, MN",Minnesota
MGM,13277,1327702,"Montgomery, AL",Alabama
OMA,13871,1387102,"Omaha, NE",Nebraska
STX,15027,1502704,"Christiansted, VI",U.S. Virgin Islands
OKC,13851,1385103,"Oklahoma City, OK",Oklahoma
MFE,13256,1325602,"Mission/McAllen/Edinburg, TX",Texas
ILM,12323,1232305,"Wilmington, NC",North Carolina
OTZ,13970,1397005,"Kotzebue, AK",Alaska
CRP,11140,1114008,"Corpus Christi, TX",Texas
CLE,11042,1104205,"Cleveland, OH",Ohio
STT,15024,1502403,"Charlotte Amalie, VI",U.S. Virgin Islands
CLT,11057,1105703,"Charlotte, NC",North Carolina
AVL,10431,1043105,"Asheville, NC",North Carolina
GGG,11905,1190502,"Longview, TX",Texas
ADQ,10170,1017004,"Kodiak, AK",Alaska
ILG,12320,1232002,"Wilmington, DE",Delaware
RDU,14492,1449202,"Raleigh/Durham, NC",North Carolina
LCH,12915,1291503,"Lake Charles, LA",Louisiana
DTW,11433,1143302,"Detroit, MI",Michigan
MHK,13290,1329003,"Manhattan/Ft. Riley, KS",Kansas
PVD,14307,1430705,"Providence, RI",Rhode Island
SLC,14869,1486903,"Salt Lake City, UT",Utah
DRO,11413,1141307,"Durango, CO",Colorado
BQK,10731,1073103,"Brunswick, GA",Georgia
HOU,12191,1219102,"Houston, TX",Texas
SFB,14761,1476107,"Sanford, FL",Florida
RNO,14570,1457002,"Reno, NV",Nevada
ELM,11537,1153706,"Elmira/Corning, NY",New York
SWF,15070,1507003,"Newburgh/Poughkeepsie, NY",New York
PHX,14107,1410702,"Phoenix, AZ",Arizona
EGE,11503,1150305,"Eagle, CO",Colorado
ART,10361,1036105,"Watertown, NY",New York
BUF,10792,1079206,"Buffalo, NY",New York
MSY,13495,1349505,"New Orleans, LA",Louisiana
BWI,10821,1082106,"Baltimore, MD",Maryland
AZO,10469,1046902,"Kalamazoo, MI",Michigan
BRW,10754,1075405,"Barrow, AK",Alaska
PSG,14256,1425605,"Petersburg, AK",Alaska
JFK,12478,1247805,"New York, NY",New York
CSG,11150,1115005,"Columbus, GA",Georgia
ROC,14576,1457606,"Rochester, NY",New York
LFT,12951,1295106,"Lafayette, LA",Louisiana
SBA,14689,1468902,"Santa Barbara, CA",California
PHL,14100,1410005,"Philadelphia, PA",Pennsylvania
ORD,13930,1393007,"Chicago, IL",Illinois
MKE,13342,1334207,"Milwaukee, WI",Wisconsin
CHA,10980,1098002,"Chattanooga, TN",Tennessee
GUC,12012,1201205,"Gunnison, CO",Colorado
ROA,14574,1457405,"Roanoke, VA",Virginia
ITO,12402,1240203,"Hilo, HI",Hawaii
HGR,12119,1211902,"Hagerstown, MD",Maryland
MCO,13204,1320402,"Orlando, FL",Florida
CAK,10874,1087402,"Akron, OH",Ohio
RDM,14489,1448902,"Bend/Redmond, OR",Oregon
ESC,11587,1158702,"Escanaba, MI",Michigan
SBP,14698,1469802,"San Luis Obispo, CA",California
DEC,11288,1128802,"Decatur, IL",Illinois
GCC,11865,1186502,"Gillette, WY",Wyoming
SLN,14877,1487706,"Salina, KS",Kansas
VEL,15582,1558203,"Vernal, UT",Utah
PLN,14150,1415002,"Pellston, MI",Michigan
TBN,15138,1513802,"Fort Leonard Wood, MO",Missouri
BFF,10558,1055803,"Scottsbluff, NE",Nebraska
IMT,12335,1233502,"Iron Mountain/Kingsfd, MI",Michigan
ROW,14588,1458804,"Roswell, NM",New Mexico
DLG,11336,1133602,"Dillingham, AK",Alaska
RKS,14543,1454303,"Rock Springs, WY",Wyoming
SGU,14794,1479405,"St. George, UT",Utah
PIB,14109,1410902,"Hattiesburg/Laurel, MS",Mississippi
ACT,10155,1015502,"Waco, TX",Texas
MCW,13211,1321105,"Mason City, IA",Iowa
GUM,12016,1201602,"Guam, TT",U.S. Pacific Trust Territories and Possessions
HOB,12177,1217705,"Hobbs, NM",New Mexico
SPN,14955,1495503,"Saipan, TT",U.S. Pacific Trust Territories and Possessions
CMI,11067,1106702,"Champaign/Urbana, IL",Illinois
HLN,12156,1215605,"Helena, MT",Montana
LBE,12898,1289806,"Latrobe, PA",Pennsylvania
PRC,14237,1423706,"Prescott, AZ",Arizona
MQT,13459,1345903,"Marquette, MI",Michigan
PIH,14113,1411302,"Pocatello, ID",Idaho
CDC,10918,1091802,"Cedar City, UT",Utah
COD,11097,1109702,"Cody, WY",Wyoming
BJI,10631,1063104,"Bemidji, MN",Minnesota
SUN,15041,1504102,"Sun Valley/Hailey/Ketchum, ID",Idaho
APN,10333,1033302,"Alpena, MI",Michigan
DRT,11415,1141501,"Del Rio, TX",Texas
LWB,13121,1312102,"Lewisburg, WV",West Virginia
LAW,12891,1289102,"Lawton/Fort Sill, OK",Oklahoma
EAR,11468,1146802,"Kearney, NE",Nebraska
DDC,11283,1128302,"Dodge City, KS",Kansas
BRD,10739,1073907,"Brainerd, MN",Minnesota
BPT,10728,1072804,"Beaumont/Port Arthur, TX",Texas
YKM,16101,1610102,"Yakima, WA",Washington
JMS,12519,1251902,"Jamestown, ND",North Dakota
JLN,12511,1251103,"Joplin, MO",Missouri
PUW,14303,1430303,"Pullman, WA",Washington
BKG,10643,1064301,"Branson, MO",Missouri
MVY,13541,1354102,"Martha's Vineyard, MA",Massachusetts
ATY,10409,1040903,"Watertown, SD",South Dakota
MMH,13388,1338801,"Mammoth Lakes, CA",California
BFM,10562,1056202,"Mobile, AL",Alabama
DRO,11413,1141306,"Durango, CO",Colorado
MHK,13290,1329002,"Manhattan/Ft. Riley, KS",Kansas
ABE,10135,1013505,"Allentown/Bethlehem/Easton, PA",Pennsylvania
HVN,12244,1224402,"New Haven, CT",Connecticut
