Dest,count,Dest_Grupo
ORD,1375012,8
ATL,1371789,8
DEN,1170597,8
DFW,1104182,8
CLT,907769,7
LAX,851282,7
SEA,725299,7
IAH,689325,7
PHX,677095,7
LAS,666271,7
SFO,599559,7
DTW,593321,7
EWR,578010,7
MCO,574362,7
MSP,544449,7
LGA,527881,7
BOS,512522,7
PHL,492231,6
DCA,467825,6
SLC,467781,6
JFK,432106,6
BWI,399300,6
FLL,389154,6
IAD,354686,6
SAN,347046,6
MIA,344728,6
MDW,335361,6
BNA,327515,6
TPA,303166,6
PDX,294537,6
DAL,292572,6
STL,271728,6
AUS,271642,6
HOU,235314,6
SJC,227753,6
RDU,225682,6
HNL,218626,6
SMF,211679,6
MSY,202323,6
MCI,199194,6
OAK,198281,6
IND,183124,6
CLE,180077,6
PIT,174214,6
CVG,172273,6
SNA,169726,6
CMH,168311,6
RSW,155170,6
SAT,147317,6
MKE,125852,6
JAX,119508,6
SJU,114651,6
BUR,113575,6
OGG,107817,6
BOI,103353,6
BDL,103134,6
CHS,101065,6
OMA,99236,5
PBI,98932,5
SDF,97432,5
RIC,96880,5
BUF,95349,5
ABQ,94443,5
MEM,94049,5
OKC,93219,5
ONT,91783,5
ORF,90975,5
RNO,88116,5
GEG,86015,5
GRR,77881,5
ANC,77559,5
SAV,71213,5
TYS,71057,5
TUS,70840,5
ELP,69971,5
BHM,69968,5
PVD,68010,5
TUL,67542,5
DSM,66015,5
ROC,62469,5
GSP,61446,5
LGB,61400,5
ALB,61352,5
KOA,61244,5
SYR,59399,5
GSO,56478,5
MYR,56048,5
LIH,53888,5
LIT,53724,5
DAY,53034,5
MSN,53022,5
PSP,52464,5
PNS,50845,5
PWM,50837,5
XNA,50403,5
FAT,47763,4
SRQ,46633,4
COS,45689,4
SFB,44842,4
ICT,44143,4
LEX,41663,4
AVL,39559,4
MDT,39393,4
BZN,39155,4
VPS,38898,4
HPN,38837,4
BTV,38439,4
CID,38428,4
SGF,38365,4
HSV,38132,4
CAE,37344,4
MAF,36999,4
MHT,36154,4
EUG,35630,4
PIE,35075,4
MFR,34751,4
RDM,34475,4
FSD,33780,4
CHA,32361,4
ECP,32346,4
JAN,32043,4
ILM,31382,4
SBA,29753,4
EYW,29202,4
FAR,27778,4
LBB,27509,4
FWA,27371,4
SBN,27292,4
ATW,27047,4
ASE,26973,4
CHO,26777,4
PGD,26401,4
AZA,25973,4
BTR,25901,4
PSC,25593,4
ITO,25411,4
ROA,25306,4
ISP,25264,4
SHV,24583,4
MOB,23511,4
MSO,23295,4
RAP,23084,4
CAK,22889,4
ABE,22697,4
GRB,22217,4
CRP,22142,4
MLI,22070,4
AMA,22037,4
TLH,21883,4
BIL,21309,4
JAC,20980,4
TVC,20855,4
SBP,20651,4
FCA,20607,4
BGR,20490,4
MFE,19995,4
LFT,19684,4
PIA,19623,4
STT,19459,4
AGS,18913,4
BIS,18859,4
GJT,18719,4
FAI,18529,4
EVV,18111,4
JNU,17679,4
HRL,17538,4
CRW,17280,4
GPT,17074,4
AVP,16897,4
MRY,16790,4
FNT,16762,4
DRO,16636,4
GNV,16524,4
STS,16178,4
SCE,15601,4
MGM,15305,4
TRI,15212,4
FAY,14843,4
PAE,14662,4
IDA,13956,4
ACY,13460,4
RST,13108,4
SGU,12889,4
BLI,12801,4
DAB,12777,4
LAN,12535,4
MTJ,12472,4
OAJ,12307,4
AEX,12287,4
GTF,12254,4
LNK,11887,4
GRK,11835,4
AZO,11694,4
CWA,11629,4
DLH,11224,4
MOT,11117,4
EGE,10949,4
PHF,10948,4
BMI,10865,4
MLU,10644,4
BFL,10307,4
BRO,10288,4
TTN,10268,4
HHH,10213,4
MLB,9888,3
COU,9703,3
SAF,9631,3
MBS,9599,3
LRD,9500,3
KTN,9274,3
HDN,9146,3
FLG,9044,3
CMI,8840,3
CPR,8673,3
ITH,8646,3
ABI,8396,3
HLN,8261,3
CLL,8115,3
ERI,7924,3
BQN,7776,3
SUN,7741,3
LSE,7688,3
ACV,7679,3
LCH,7592,3
EWN,7549,3
ELM,7408,3
LYH,7291,3
SWF,7097,3
YUM,6788,3
SJT,6757,3
GFK,6753,3
SPI,6646,3
TOL,6643,3
FSM,6574,3
SBY,6477,3
ACT,6250,3
MHK,6200,3
ACK,6095,3
HTS,5618,3
RDD,5532,3
TYR,5509,3
CSG,5461,3
MQT,5298,3
USA,5287,3
BLV,5241,3
LCK,5013,3
ORH,5008,3
LNY,4937,2
SIT,4922,2
PUW,4900,2
PBG,4726,2
LAW,4627,2
ROW,4600,2
DHN,4597,2
LBE,4511,2
STX,4454,2
JMS,4447,2
SPS,4447,2
TXK,4433,2
PGV,4341,2
COD,4335,2
GTR,4197,2
HYS,4176,2
VLD,4156,2
LWS,4155,2
YKM,4150,2
GRI,4034,2
EAT,4025,2
CKB,3974,2
SUX,3941,2
PAH,3933,2
BQK,3927,2
GUC,3909,2
GUM,3890,2
ABY,3884,2
TWF,3791,2
JLN,3785,2
PLN,3731,2
PIH,3722,2
FLO,3667,2
PVU,3558,2
PUB,3546,2
BPT,3536,2
SCK,3519,2
SLN,3472,2
ALW,3429,2
MKK,3419,2
RFD,3392,2
GGG,3389,2
GCC,3305,2
XWA,3273,2
CMX,3272,2
EAU,3244,2
RHI,3214,2
SHD,3199,2
CGI,3184,2
MEI,3146,2
MKG,3145,2
PSG,3143,2
WRG,3142,2
CDV,3136,2
YAK,3136,2
JHM,3099,2
ADQ,3083,2
BET,3080,2
ISN,3078,2
SCC,3020,2
ABR,3015,2
EAR,2983,2
BJI,2966,2
BFF,2964,2
PRC,2953,2
DBQ,2917,2
LBF,2895,2
DVL,2883,2
IAG,2865,2
CIU,2862,2
IMT,2862,2
LWB,2835,2
GCK,2835,2
LAR,2821,2
SWO,2781,2
RKS,2779,2
LBL,2752,2
MVY,2736,2
CNY,2735,2
BTM,2710,2
OTZ,2681,2
OME,2680,2
DIK,2665,2
ART,2641,2
ESC,2640,2
PIB,2627,2
HOB,2585,2
BRD,2576,2
INL,2546,2
HIB,2526,2
APN,2518,2
VEL,2511,2
PSE,2491,2
CDC,2472,2
EKO,2449,2
BGM,2444,2
ALO,2408,2
DRT,2332,2
PQI,2281,2
BRW,2280,2
OGS,2211,2
SPN,2206,2
HVN,2113,2
PIR,1865,2
ATY,1748,2
DEC,1679,2
IPT,1634,2
PSM,1629,2
OTH,1607,2
UIN,1578,2
SHR,1551,2
DDC,1490,2
DUT,1391,2
RIW,1322,2
MMH,1286,2
CYS,1276,2
