DestStateName,avg(Cancelled),DestStateName_Grupo
New Jersey,0.04196676959075212,8
Maine,0.0391533528964243,7
Delaware,0.03636363636363636,7
Vermont,0.036135175212674626,7
New York,0.03600073096416411,7
Illinois,0.03504873745117457,7
Rhode Island,0.034171445375680044,6
Maryland,0.03336440392424023,6
New Hampshire,0.033321864330519015,6
North Dakota,0.032961052774788814,6
Louisiana,0.03188301530622348,6
West Virginia,0.0314740633520719,6
South Dakota,0.03146853146853147,6
Virginia,0.031366738414613335,6
Pennsylvania,0.030916625979550375,6
Massachusetts,0.03065079545886016,6
Texas,0.030207951020005102,6
South Carolina,0.02979431617262763,5
North Carolina,0.02968287545864724,5
Connecticut,0.02935000522580216,5
Missouri,0.02925419360715689,5
Kansas,0.02887748201881109,5
Iowa,0.028772865853658538,5
Wisconsin,0.02828134045913364,5
Arkansas,0.02768078934111557,5
Ohio,0.027630404914110864,5
Colorado,0.02743578299019344,5
Tennessee,0.027423481193793342,5
Indiana,0.02738981938115968,5
Mississippi,0.027078714438032055,5
Kentucky,0.026997412681975228,5
Oklahoma,0.026402012261475063,5
Nebraska,0.025967951354446406,5
Florida,0.02570698462431297,5
Alabama,0.025554156752374487,5
Wyoming,0.024680073126142597,4
Nevada,0.02431966766908551,4
New Mexico,0.023189135260967653,4
California,0.022174576087150292,4
Arizona,0.02191012157291663,4
Alaska,0.021400574056356286,4
Michigan,0.020017555837315907,4
Washington,0.01893460358689211,3
Minnesota,0.018520881030535404,3
Oregon,0.01828927680798005,3
Georgia,0.016751355162393036,3
Puerto Rico,0.016186618421684625,3
Montana,0.014771438778521613,2
Hawaii,0.01385959815316831,2
Utah,0.013015708613844296,2
Idaho,0.012880527801752513,2
U.S. Virgin Islands,0.012670932128967508,2
U.S. Pacific Trust Territories and Possessions,0.005957836846929423,1
