Origin,count,Origin_Grupo
ORD,1375187,8
ATL,1371796,8
DEN,1170585,8
DFW,1104266,8
CLT,907841,7
LAX,851262,7
SEA,725350,7
IAH,689477,7
PHX,677155,7
LAS,666148,7
SFO,599413,7
DTW,593392,7
EWR,578014,7
MCO,574361,7
MSP,544492,7
LGA,527881,7
BOS,512522,7
PHL,492259,6
DCA,467788,6
SLC,467546,6
JFK,432214,6
BWI,399322,6
FLL,389175,6
IAD,354730,6
SAN,347043,6
MIA,344788,6
MDW,335377,6
BNA,327482,6
TPA,303171,6
PDX,294535,6
DAL,292538,6
STL,271711,6
AUS,271625,6
HOU,235333,6
SJC,227952,6
RDU,225657,6
HNL,218599,6
SMF,211665,6
MSY,202279,6
MCI,199162,6
OAK,198352,6
IND,183098,6
CLE,180067,6
PIT,174211,6
CVG,172240,6
SNA,169646,6
CMH,168287,6
RSW,155184,6
SAT,147296,6
MKE,125866,6
JAX,119505,6
SJU,114658,6
BUR,113560,6
OGG,107828,6
BOI,103356,6
BDL,103133,6
CHS,101058,6
OMA,99228,5
PBI,98938,5
SDF,97430,5
RIC,96878,5
BUF,95342,5
ABQ,94437,5
MEM,94035,5
OKC,93216,5
ONT,91776,5
ORF,90963,5
RNO,88122,5
GEG,86007,5
GRR,77879,5
ANC,77567,5
SAV,71213,5
TYS,71038,5
TUS,70842,5
ELP,69963,5
BHM,69947,5
PVD,68011,5
TUL,67525,5
DSM,66004,5
ROC,62463,5
KOA,61482,5
GSP,61440,5
LGB,61395,5
ALB,61339,5
SYR,59389,5
GSO,56465,5
MYR,56044,5
LIH,53889,5
LIT,53707,5
DAY,53036,5
MSN,53019,5
PSP,52409,5
PWM,50846,5
PNS,50839,5
XNA,50397,5
FAT,47757,4
SRQ,46621,4
COS,45690,4
SFB,44790,4
ICT,44140,4
LEX,41663,4
AVL,39536,4
MDT,39391,4
BZN,39154,4
VPS,38881,4
HPN,38785,4
CID,38431,4
BTV,38431,4
SGF,38363,4
HSV,38122,4
CAE,37339,4
MAF,36990,4
MHT,36155,4
EUG,35630,4
PIE,35047,4
MFR,34750,4
RDM,34476,4
FSD,33776,4
CHA,32363,4
ECP,32348,4
JAN,32037,4
ILM,31379,4
SBA,29748,4
EYW,29198,4
FAR,27775,4
LBB,27503,4
FWA,27381,4
SBN,27293,4
ATW,27040,4
ASE,26972,4
CHO,26778,4
PGD,26373,4
AZA,25944,4
BTR,25892,4
PSC,25596,4
ROA,25312,4
ISP,25264,4
ITO,25168,4
SHV,24581,4
MOB,23510,4
MSO,23298,4
RAP,23081,4
CAK,22892,4
ABE,22696,4
GRB,22218,4
CRP,22140,4
MLI,22075,4
AMA,22032,4
TLH,21879,4
BIL,21315,4
JAC,20978,4
TVC,20855,4
SBP,20648,4
FCA,20609,4
BGR,20484,4
MFE,19997,4
LFT,19679,4
PIA,19621,4
STT,19456,4
AGS,18920,4
BIS,18857,4
GJT,18752,4
FAI,18527,4
EVV,18109,4
JNU,17676,4
HRL,17532,4
