Tail_Number,count,Tail_Number_Grupo
Otros,267613,0
N480HA,12470,4
N491HA,12376,4
N494HA,12248,4
N492HA,11985,4
N487HA,11945,4
N483HA,11935,4
N493HA,11837,4
N486HA,11797,4
N476HA,11771,4
N488HA,11727,4
N495HA,11648,4
N490HA,11460,4
N484HA,11354,4
N489HA,11263,4
N479HA,11034,4
N475HA,10888,4
N478HA,10208,4
N966WN,8855,3
N957WN,8814,3
N942WN,8800,3
N935WN,8781,3
N952WN,8766,3
N967WN,8746,3
N937WN,8731,3
N968WN,8727,3
N965WN,8711,3
N964WN,8692,3
N969WN,8678,3
N477HA,8666,3
N958WN,8651,3
N926WN,8642,3
N939WN,8625,3
N931WN,8621,3
N962WN,8620,3
N930WN,8597,3
N938WN,8594,3
N955WN,8587,3
N927WN,8583,3
N928WN,8571,3
N936WN,8567,3
N934WN,8562,3
N929WN,8547,3
N932WN,8542,3
N248WN,8534,3
N438QX,8525,3
N956WN,8518,3
N963WN,8507,3
N943WN,8503,3
N953WN,8501,3
N950WN,8482,3
N421QX,8475,3
N959WN,8475,3
N923WN,8467,3
N960WN,8460,3
N933WN,8459,3
N944WN,8439,3
N7742B,8435,3
N443QX,8433,3
N940WN,8423,3
N279WN,8422,3
N448QX,8417,3
N945WN,8415,3
N961WN,8407,3
N201LV,8405,3
N7854B,8402,3
N913WN,8398,3
N954WN,8396,3
N247WN,8392,3
N451QX,8387,3
N280WN,8385,3
N439QX,8384,3
N401QX,8384,3
N264LV,8377,3
N205WN,8377,3
N223WN,8377,3
N217JC,8374,3
N261WN,8356,3
N941WN,8355,3
N951WN,8353,3
N7738A,8352,3
N925WN,8350,3
N265WN,8346,3
N229WN,8342,3
N922WN,8339,3
N7734H,8332,3
N266WN,8332,3
N947WN,8329,3
N225WN,8329,3
N213WN,8326,3
N497WN,8323,3
N498WN,8322,3
N7715E,8320,3
N272WN,8319,3
N262WN,8318,3
N210WN,8317,3
N232WN,8316,3
N274WN,8311,3
N496WN,8310,3
N287WN,8310,3
N239WN,8297,3
N268WN,8296,3
N7844A,8293,3
N447QX,8290,3
N440QX,8289,3
N948WN,8287,3
N209WN,8286,3
N273WN,8284,3
N227WN,8282,3
N254WN,8282,3
N432WN,8279,3
N449WN,8271,3
N949WN,8271,3
N222WN,8267,3
N228WN,8267,3
N914WN,8265,3
N435QX,8264,3
N442QX,8264,3
N235WN,8263,3
N482WN,8261,3
N7862A,8261,3
N219WN,8258,3
N900WN,8256,3
N499WN,8255,3
N259WN,8254,3
N275WN,8251,3
N267WN,8249,3
N203WN,8241,3
N224WN,8240,3
N269WN,8240,3
N291WN,8235,3
N231WN,8234,3
N218WN,8232,3
N200WN,8231,3
N477WN,8231,3
N492WN,8231,3
N422QX,8228,3
N276WN,8226,3
N251WN,8217,3
N946WN,8215,3
N431WN,8209,3
N903WN,8209,3
N440LV,8205,3
N226WN,8205,3
N7835A,8204,3
N214WN,8202,3
N260WN,8202,3
N7881A,8200,3
N230WN,8197,3
N567WN,8196,3
N908WN,8195,3
N233LV,8194,3
N246LV,8193,3
N7713A,8193,3
N430WN,8191,3
N479WN,8191,3
N7846A,8190,3
N240WN,8189,3
N243WN,8185,3
N204WN,8184,3
N423WN,8184,3
N256WN,8184,3
N569WN,8181,3
N436QX,8181,3
N245WN,8181,3
N910WN,8178,3
N212WN,8175,3
N444WN,8169,3
N7886A,8168,3
N461WN,8166,3
N924WN,8164,3
N444QX,8163,3
N7863A,8160,3
N250WN,8147,3
N494WN,8147,3
N241WN,8146,3
N413WN,8143,3
N437QX,8142,3
N414WN,8141,3
N435WN,8141,3
N792SW,8140,3
N443WN,8139,3
N7879A,8138,3
N236WN,8138,3
N7842A,8137,3
N258WN,8135,3
N7721E,8132,3
N422WN,8132,3
N490WN,8131,3
N453QX,8130,3
N401WN,8130,3
N912WN,8130,3
N278WN,8127,3
N434MK,8127,3
N403QX,8127,3
N487WN,8124,3
N915WN,8122,3
N7735A,8115,3
N429WN,8114,3
N420WN,8109,3
N221WN,8109,3
N566WN,8109,3
N289CT,8109,3
N242WN,8109,3
N485WN,8105,3
N733SA,8102,3
N299WN,8101,3
N297WN,8099,3
N400QX,8096,3
N439WN,8088,3
N467WN,8087,3
N404QX,8087,3
N298WN,8084,3
N738CB,8084,3
N244WN,8083,3
N437WN,8082,3
N402QX,8081,3
N736SA,8079,3
N7878A,8077,3
N464WN,8076,3
N211WN,8075,3
N7857B,8073,3
N290WN,8073,3
N7875A,8070,3
N421LV,8070,3
N237WN,8069,3
N215WN,8066,3
N760SW,8065,3
N7704B,8064,3
N277WN,8063,3
N7732A,8060,3
N286WN,8059,3
N284WN,8059,3
N403WN,8057,3
N7739A,8056,3
N747SA,8055,3
N917WN,8052,3
N7877H,8050,3
N252WN,8050,3
N234WN,8045,3
N7852A,8043,3
N7702A,8043,3
N7845A,8042,3
N438WN,8040,3
N404WN,8039,3
N7849A,8039,3
N296WN,8039,3
N249WN,8035,3
N434WN,8035,3
N484WN,8034,3
N202WN,8031,3
N7856A,8030,3
N294WN,8028,3
N7720F,8027,3
N441WN,8026,3
N407WN,8025,3
N470WN,8014,3
N469WN,8013,3
N409WN,8011,3
N7825A,8011,3
N458WN,8011,3
N475WN,8010,3
N754SW,8006,3
N476WN,8005,3
N748SW,7996,3
N465WN,7995,3
N919WN,7994,3
N285WN,7986,3
N295WN,7983,3
N904WN,7982,3
N781WN,7980,3
N735SA,7976,3
N495WN,7975,3
N427WN,7966,3
N730SW,7965,3
N729SW,7964,3
N7876A,7963,3
N7880D,7960,3
N727SW,7960,3
N282WN,7959,3
N406WN,7959,3
N731SA,7958,3
N7726A,7953,3
N920WN,7952,3
N749SW,7950,3
N463WN,7947,3
N238WN,7945,3
N480WN,7944,3
N462WN,7941,3
N255WN,7930,3
N411WN,7927,3
N281WN,7926,3
N611AS,7925,3
N644AS,7923,3
N257WN,7922,3
N417WN,7920,3
N481WN,7917,3
N725SW,7916,3
N7740A,7916,3
N410WN,7915,3
N452WN,7915,3
N785SW,7911,3
N445QX,7909,3
N418WN,7908,3
N755SA,7907,3
N478WN,7903,3
N405QX,7903,3
N614AS,7902,3
N7858A,7902,3
N425LV,7897,3
N253WN,7885,3
N613AS,7883,3
N757LV,7879,3
N7866A,7875,3
N283WN,7873,3
N412WN,7872,3
N292WN,7869,3
N416WN,7869,3
N7836A,7868,3
N744SW,7868,3
N7843A,7867,3
N7867A,7867,3
N734SA,7867,3
N454WN,7864,3
N909WN,7864,3
N7864B,7847,3
N751SW,7843,3
N7847A,7842,3
N436WN,7841,3
N220WN,7836,3
N457WN,7836,3
N7730A,7833,3
N7855A,7833,3
N750SA,7830,3
N767SW,7828,3
N769SW,7807,3
N474WN,7805,3
N7829B,7804,3
N412QX,7803,3
N7818L,7803,3
N7883A,7800,3
N493WN,7797,3
N724SW,7797,3
N486WN,7793,3
N7816B,7785,3
N763SW,7785,3
N473WN,7783,3
N483WN,7779,3
N408WN,7774,3
N732SW,7774,3
N293WN,7773,3
N615AS,7773,3
N746SW,7768,3
N7874B,7768,3
N762SW,7767,3
N415WN,7766,3
N7853B,7766,3
N7888A,7760,3
N442WN,7759,3
N7823A,7748,3
N619AS,7747,3
N588NN,7747,3
N567NN,7744,3
N432QX,7742,3
N488WN,7738,3
N426WN,7737,3
N7841A,7732,3
N709SW,7729,3
N970SW,7717,3
N7859B,7717,3
N7865A,7712,3
N424WN,7710,3
N765SW,7708,3
N575NN,7703,3
N288WN,7674,3
N450QX,7667,3
N551WN,7650,3
N428WN,7647,3
N7824A,7643,3
N582NN,7642,3
N485HA,7642,3
N596NN,7641,3
N593NN,7639,3
N7839A,7635,3
N557NN,7634,3
N773SA,7633,3
N577NN,7630,3
N419WN,7627,3
N550WN,7624,3
N923AE,7612,3
N7851A,7598,3
N566NN,7596,3
N618AS,7595,3
N983SW,7590,3
N405WN,7587,3
N728SW,7585,3
N908AE,7578,3
N7828A,7577,3
N589NN,7569,3
N678AE,7559,3
N688AE,7557,3
N681AE,7553,3
N694AE,7547,3
N7884G,7546,3
N8527Q,7544,3
N591NN,7541,3
N573NN,7541,3
